,Game,AgeRestriction,GameDescription,Reviews,ReviewSentiment,ReleaseDate,Developer,FullPrice,DiscountedPrice,PEGI,MetacriticScore,Type,LastUpdate,GamesLanguages,GameFeatures,DRM Notice,GameAchievements,CuratorReviews
387,Tropico 6 - Caribbean Skies,No,,"Análises em geral:
Neutras (55 análises)",Neutras,16/dez./2020,Realmforge Studios,"R$ 69,00",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/10.png,,"Simulação, Estratégia",Ver todas as atualizações (última: hoje),Ver todos os 11 idiomas disponíveis,"Um jogador
JxJ on-line
Conteúdo adicional
Conquistas Steam
Compat. total com controle
Cartas Colecionáveis Steam
Oficina Steam
Nuvem Steam
Remote Play na TV",Not required,0,12 curadores analisaram este produto. Clique aqui para saber quais.
388,Car Detailing Simulator,No,"No Car Detailing Simulator, você tem a chance de renovar e restaurar qualquer carro para o esplendor, a pedido de clientes exigentes! Um carro bom e bem cuidado pode ser o orgulho de qualquer pessoa! Limpe, pula e admire suas obras neste jogo altamente realista onde cada detalhe conta!","Análises em geral:
Ligeiramente positivas (536 análises)",Neutras,13/abr./2022,"Games Incubator, GameFormatic S.A.","R$ 30,99","R$ 18,59",https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/l.png,,"Casual, Indie, Corrida, Simulação",Ver todas as atualizações (última: 2 de dez. de 2022),Ver todos os 13 idiomas disponíveis,"Um jogador
Conquistas Steam
Compat. total com controle",Not required,Inclui 63 Conquistas Steam,145 curadores analisaram este produto. Clique aqui para saber quais.
389,A Dance of Fire and Ice,No,A Dance of Fire and Ice é um jogo de ritmo rápido. Mantenha o foco enquanto guia dois planetas que orbitam através de um longo caminho sem quebrar o equilíbrio.,"Análises em geral:
Muito positivas (47,778 análises)",Muito positivas,24/jan./2019,7th Beat Games,"R$ 12,39",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/l.png,,Indie,Ver todas as atualizações (última: 27 de dez. de 2022),Ver todos os 15 idiomas disponíveis,"Um jogador
Conquistas Steam
Oficina Steam
Compat. parcial com controle
Nuvem Steam
Inclui editor de níveis
Remote Play no celular
Remote Play no tablet",Requer aceitação de contrato de terceiros,Inclui 47 Conquistas Steam,71 curadores analisaram este produto. Clique aqui para saber quais.
390,Battlefield: Bad Company 2 Vietnam,No,"Get ready for a whole new war, as DICE's massively popular online shooter Battlefield: Bad Company™ 2 makes the journey back to the 60's and the infamous Vietnam war.","Análises em geral:
Muito positivas (206 análises)",Muito positivas,18/dez./2010,DICE,"R$ 14,90","R$ 14,75",,86,Ação,,Ver todos os 7 idiomas disponíveis,,Not required,0,56 curadores analisaram este produto. Clique aqui para saber quais.
391,Planet Zoo: North America Animal Pack,Yes,,"Análises em geral:
Muito positivas (112 análises)",Muito positivas,4/out./2021,Frontier Developments,"R$ 24,34","R$ 12,17",https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/12.png,,"Casual, Simulação, Estratégia",Ver todas as atualizações (última: 4 de abr.),Ver todos os 18 idiomas disponíveis,"Um jogador
Conteúdo adicional
Conquistas Steam
Cartas Colecionáveis Steam
Oficina Steam
Nuvem Steam",Not required,0,1 curador analisou este produto. Clique aqui para saber qual.
392,KartKraft™,No,"No seatbelts, no suspension, no downforce. This is pure head to head racing at 90mph...","Análises em geral:
Ligeiramente positivas (2,129 análises)",Neutras,1/nov./2018,Motorsport Games,"R$ 73,99",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/l.png,,"Ação, Casual, Gratuito p/ Jogar, Corrida, Simulação, Esportes, Estratégia",,1,"Um jogador
Compat. total com controle
Compatíveis com RV
Estatísticas",Requer aceitação de contrato de terceiros,0,40 curadores analisaram este produto. Clique aqui para saber quais.
393,Our Life: Beginnings & Always,No,"A twenty-dollar bill, four summers, fifteen years, and a one of a kind life. Create an experience that’s all your own in this near-fully customizable visual novel where you grow from childhood to adulthood with the lonely boy next door.","Análises em geral:
Extremamente positivas (8,920 análises)",Extremamente positivas,16/nov./2020,GB Patch Games,Gratuito para jogar,0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/14.png,,"Casual, Gratuito p/ Jogar, Indie",,1,"Um jogador
Conquistas Steam",Not required,Inclui 22 Conquistas Steam,51 curadores analisaram este produto. Clique aqui para saber quais.
394,Universe Sandbox,No,"Create & destroy on an unimaginable scale with a realistic physics-based space simulator. Explore the beauty of our universe and the fragility of our planet. Use science to bend the laws of gravity, collide planets, boil away oceans, fire epic space lasers, and customize your universe. VR optional.","Análises em geral:
Extremamente positivas (17,213 análises)",Muito positivas,24/ago./2015,Giant Army,"R$ 88,99",0,,,"Casual, Indie, Simulação, Acesso Antecipado",Ver todas as atualizações (última: 23 de mar.),Ver todos os 28 idiomas disponíveis,"Um jogador
Oficina Steam
Compat. parcial com controle",Not required,0,277 curadores analisaram este produto. Clique aqui para saber quais.
395,Car Mechanic Simulator 2018,No,"Build and expand your repair service empire in this incredibly detailed and highly realistic simulation game, where attention to car detail is astonishing. Find classic, unique cars in the new Barn Find module and Junkyard module. You can even add your self-made car in the Car Editor.","Análises em geral:
Muito positivas (41,347 análises)",Muito positivas,28/jul./2017,Red Dot Games,"R$ 59,99","R$ 73,29",https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/l.png,,"Corrida, Simulação",,Ver todos os 17 idiomas disponíveis,"Um jogador
Conquistas Steam
Cartas Colecionáveis Steam
Oficina Steam
Compat. parcial com controle
Nuvem Steam
Estatísticas
Inclui editor de níveis",Not required,Inclui 60 Conquistas Steam,191 curadores analisaram este produto. Clique aqui para saber quais.
396,Left 4 Dead,No,"A Valve (os criadores de Counter-Strike, Half-Life e mais) apresenta Left 4 Dead, um jogo cooperativo de ação e terror para computador e Xbox 360, que lança até quatro jogadores em uma luta épica pela sobrevivência contra hordas de zumbis e terríveis monstros mutantes.","Análises em geral:
Extremamente positivas (39,029 análises)",Extremamente positivas,17/nov./2008,Valve,"R$ 32,99",0,,89,Ação,,Ver todos os 28 idiomas disponíveis,"Um jogador
Conquistas Steam
Compat. total com controle
Legendas disponíveis
Nuvem Steam
Usa Valve Antitrapaça
Estatísticas
Classificações Steam
Inclui o SDK da Source
Comentários disponíveis
Remote Play na TV
Remote Play Together",Not required,Inclui 73 Conquistas Steam,826 curadores analisaram este produto. Clique aqui para saber quais.
397,Miscreated,Yes,"Miscreated is a multiplayer online hardcore survival game set in a post-apocalyptic future. You will need to survive against mutants, players, and even mother nature herself.","Análises em geral:
Neutras (23,216 análises)",Ligeiramente positivas,18/dez./2018,Entrada Interactive LLC,"R$ 57,99",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/14.png,,"Ação, Aventura, Indie, Multijogador Massivo, RPG, Simulação, Estratégia",,1,"MMO
JxJ on-line
Conquistas Steam
Cartas Colecionáveis Steam
Compat. parcial com controle
Nuvem Steam
Usa Valve Antitrapaça",Requer aceitação de contrato de terceiros,Inclui 29 Conquistas Steam,180 curadores analisaram este produto. Clique aqui para saber quais.
398,Metal: Hellsinger,Yes,"Mate demônios com metal e vingança em uma jornada infernal pelos oito infernos. Faça-os sentir medo da batida. Metal: Hellsinger um jogo de tiro de primeira pessoa cheio de demônios, armas da hora, e música de metal pesado.","Análises em geral:
Extremamente positivas (8,413 análises)",Extremamente positivas,15/set./2022,The Outsiders,"R$ 99,99",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/16.png,,"Ação, Aventura",Ver todas as atualizações (última: 29 de mar.),Ver todos os 11 idiomas disponíveis,"Um jogador
Conquistas Steam
Compat. parcial com controle
Nuvem Steam",Requer aceitação de contrato de terceiros,Inclui 28 Conquistas Steam,198 curadores analisaram este produto. Clique aqui para saber quais.
399,Realm Royale Reforged,No,Seja o último campeão em pé em Realm Royale! Busque armas mortais e habilidades poderosas para montar seu próprio campeão. Cavalgue sua montaria e explore um mundo de fantasia enquanto foge da névoa mortal. Você consegue sobreviver ao primeiro battle royale de fantasia com 100 jogadores?,"Análises em geral:
Ligeiramente positivas (55,434 análises)",Muito positivas,5/jun./2018,Heroic Leap Games,Gratuito para jogar,0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/12.png,,"Ação, Gratuito p/ Jogar, Acesso Antecipado",Ver todas as atualizações (última: 29 de nov. de 2022),Ver todos os 8 idiomas disponíveis,"JxJ on-line
Compat. parcial com controle",Requer aceitação de contrato de terceiros,Inclui 22 Conquistas Steam,191 curadores analisaram este produto. Clique aqui para saber quais.
400,BlackShot: Mercenary Warfare FPS,No,"BlackShot é um shooter grátis em primeira pessoa, ambientado em um mundo pós-apocalíptico.Junte-se a outros mercenários em um combate entre quipes brutal, vários modos de jogo e experiência de personalização profunda, para criar o seu guerreiro perfeito!","Análises em geral:
Neutras (2,917 análises)",Neutras,31/mai./2016,Vertigo Games America,Gratuito para jogar,0,,,"Ação, Casual, Gratuito p/ Jogar",Ver todas as atualizações (última: 10 de abr.),1,"MMO
Conquistas Steam
Cartas Colecionáveis Steam
Compras em aplicativo",Not required,Inclui 48 Conquistas Steam,17 curadores analisaram este produto. Clique aqui para saber quais.
401,9 Years of Shadows,Yes,"Fight to bring beautiful colors back to a hand-crafted world of darkness and discover the story of Europa, a young warrior, and her ghostly childhood companion, Apino.","Análises em geral:
Muito positivas (552 análises)",Muito positivas,27/mar./2023,Halberd Studios,"R$ 59,99",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/10.png,,"Ação, Aventura, Indie",Ver todas as atualizações (última: 6 de abr.),1,"Um jogador
Compat. total com controle",Not required,Inclui 34 Conquistas Steam,41 curadores analisaram este produto. Clique aqui para saber quais.
402,Swords of Legends Online,Yes,Swords of Legends Online is an action MMORPG set in a breathtaking fantasy world with sophisticated combat mechanics and a unique storyline based on Chinese mythology.,"Análises em geral:
Neutras (5,714 análises)",Neutras,9/jul./2021,"Wangyuan Shengtang Entertainment Technology CO.,",Gratuito p/ Jogar,0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/10.png,,"Gratuito p/ Jogar, Multijogador Massivo, RPG",Ver todas as atualizações (última: 2 de nov. de 2022),Ver todos os 5 idiomas disponíveis,"MMO
JxJ on-line
Cooperativo on-line
Cartas Colecionáveis Steam
Compras em aplicativo",Not required,Itens disponíveis na loja de pontos,57 curadores analisaram este produto. Clique aqui para saber quais.
403,Assassin's Creed 2,No,"An epic story of family, vengeance and conspiracy set in the pristine, yet brutal, backdrop of a Renaissance Italy. New low price!","Análises em geral:
Muito positivas (39,105 análises)",Muito positivas,9/mar./2010,Ubisoft Montreal,"R$ 59,99",0,,86,"Ação, Aventura",,Ver todos os 11 idiomas disponíveis,Um jogador,Requer aceitação de contrato de terceiros,0,434 curadores analisaram este produto. Clique aqui para saber quais.
404,Warframe: Pacote Iniciante da Ember,Yes,,"Análises em geral:
Positivas (22 análises)",Positivas,2/nov./2022,Digital Extremes,"R$ 18,95",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/16.png,,"Ação, Gratuito p/ Jogar, RPG",Ver todas as atualizações (última: 15 de fev.),Ver todos os 14 idiomas disponíveis,"Um jogador
Cooperativo on-line
Conteúdo adicional
Conquistas Steam
Compat. total com controle
Cartas Colecionáveis Steam
Oficina Steam
Compras em aplicativo
Remote Play no celular
Remote Play no tablet",Not required,0,1 curador analisou este produto. Clique aqui para saber qual.
405,Kingdom Rush Origins - Tower Defense,No,"Comande o seu exército élfico e defenda as terras místicas contra serpentes do mar, feiticeiros malignos e onda após onda de membros de tribo gnoll, tudo isso com a ajuda de torres novinhas, heróis e feitiços novos para defender-se e derrotar até o último inimigo.","Análises em geral:
Extremamente positivas (4,917 análises)",Muito positivas,17/out./2018,Ironhide Game Studio,"R$ 28,99","R$ 17,39",https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/l.png,,"Indie, Estratégia",,Ver todos os 11 idiomas disponíveis,"Um jogador
Conquistas Steam
Nuvem Steam",Not required,Inclui 83 Conquistas Steam,127 curadores analisaram este produto. Clique aqui para saber quais.
406,Insurgency,No,"Take to the streets for intense close quarters combat, where a team's survival depends upon securing crucial strongholds and destroying enemy supply in this multiplayer and cooperative Source Engine based experience.","Análises em geral:
Muito positivas (86,212 análises)",Muito positivas,22/jan./2014,New World Interactive,"R$ 28,99",0,,74,"Ação, Indie, Estratégia",,Ver todos os 11 idiomas disponíveis,"Multijogador multiplataforma
Conquistas Steam
Compat. total com controle
Cartas Colecionáveis Steam
Oficina Steam
Usa Valve Antitrapaça
Inclui editor de níveis",Not required,Inclui 100 Conquistas Steam,"1,746 curadores analisaram este produto. Clique aqui para saber quais."
407,The Room 4: Old Sins,Yes,"O desaparecimento súbito de um ambicioso engenheiro e de sua esposa da alta sociedade leva à busca por um precioso artefato. O rastro leva você ao sótão da casa onde eles moravam, e à descoberta de uma casa de bonecas antiga e deveras peculiar.","Análises em geral:
Extremamente positivas (11,405 análises)",Extremamente positivas,11/fev./2021,Fireproof Games,"R$ 18,59","R$ 12,45",https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/12.png,,Aventura,,Ver todos os 8 idiomas disponíveis,"Um jogador
Conquistas Steam
Cartas Colecionáveis Steam
Nuvem Steam",Not required,Inclui 9 Conquistas Steam,76 curadores analisaram este produto. Clique aqui para saber quais.
408,Resident Evil,No,O jogo que definiu o gênero survival-horror está de volta! Verifique a versão remasterizada em HD do Resident Evil.,"Análises em geral:
Muito positivas (14,695 análises)",Muito positivas,19/jan./2015,"CAPCOM Co., Ltd.","R$ 66,90",0,,82,"Ação, Aventura",,Ver todos os 8 idiomas disponíveis,"Um jogador
Conquistas Steam
Compat. total com controle
Cartas Colecionáveis Steam
Nuvem Steam
Classificações Steam",Requer aceitação de contrato de terceiros,Inclui 44 Conquistas Steam,344 curadores analisaram este produto. Clique aqui para saber quais.
409,Resident Evil Village - Expansão de Winters,Yes,,"Análises em geral:
Neutras (1,670 análises)",Neutras,27/out./2022,"CAPCOM Co., Ltd.","R$ 66,90",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/18.png,,Ação,Ver todas as atualizações (última: 1 de dez. de 2022),Ver todos os 13 idiomas disponíveis,"Um jogador
Conteúdo adicional
Conquistas Steam
Compat. total com controle
Cartas Colecionáveis Steam
Nuvem Steam",Not required,0,30 curadores analisaram este produto. Clique aqui para saber quais.
410,Starbound,Yes,"You’ve fled your home, only to find yourself lost in space with a damaged ship. Your only option is to beam down to the planet below, repair your ship and set off to explore the universe...","Análises em geral:
Muito positivas (82,271 análises)",Muito positivas,22/jul./2016,Chucklefish,"R$ 46,99",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/10.png,81,"Ação, Aventura, Casual, Indie, RPG",,1,"Um jogador
JxJ on-line
Cooperativo on-line
Multijogador multiplataforma
Conquistas Steam
Cartas Colecionáveis Steam
Oficina Steam",Requer aceitação de contrato de terceiros,Inclui 51 Conquistas Steam,"1,719 curadores analisaram este produto. Clique aqui para saber quais."
411,AI＊Shoujo/AI＊少女,No,"Ever wanted to get away from it all? Well here's your chance! In AI Shoujo, a tropical island paradise filled with beautiful girls is waiting for you! Customize NPCs with a rich suite of character creation tools, then watch as they think, learn, and love. Kick back, relax, and enjoy life in the sun!","Análises em geral:
Ligeiramente positivas (1,953 análises)",Ligeiramente positivas,16/mar./2020,ILLUSION,"R$ 193,88",0,,,Simulação,,1,"Um jogador
Remote Play no celular
Remote Play no tablet",Not required,0,55 curadores analisaram este produto. Clique aqui para saber quais.
412,Disney Dreamlight Valley,No,Explore a world filled with the magic of Disney as you discover rich stories and build the perfect neighborhood alongside Disney and Pixar heroes and villains in this new life-sim adventure game. Welcome to Disney Dreamlight Valley.,"Análises em geral:
Muito positivas (10,198 análises)",Muito positivas,6/set./2022,Gameloft,"R$ 112,45",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/l.png,,"Ação, Aventura, Casual, RPG, Simulação, Acesso Antecipado",Ver todas as atualizações (última: 5 de abr.),Ver todos os 7 idiomas disponíveis,"Um jogador
Compat. total com controle",Requer aceitação de contrato de terceiros,0,88 curadores analisaram este produto. Clique aqui para saber quais.
413,,No,,,,,,,0,,,,,1,,Not required,0,0
414,,No,,,,,,,0,,,,,1,,Not required,0,0
415,Hunt: Showdown – The Penitent,Yes,,"Análises em geral:
Muito positivas (96 análises)",Muito positivas,22/set./2022,Crytek,"R$ 20,69","R$ 13,44",https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/16.png,,Ação,Ver todas as atualizações (última: 5 de abr.),Ver todos os 12 idiomas disponíveis,"JxJ on-line
Cooperativo on-line
Conteúdo adicional
Conquistas Steam
Compat. total com controle
Cartas Colecionáveis Steam
Compras em aplicativo
Classificações Steam
Remote Play no tablet
Remote Play na TV",Not required,0,0
416,Feed and Grow: Fish,No,"Hunt and eat other fish - simply, grow into larger beasts!","Análises em geral:
Ligeiramente positivas (11,998 análises)",Ligeiramente positivas,8/jan./2016,Old B1ood,"R$ 27,99",0,,,"Ação, Indie, Simulação, Acesso Antecipado",,1,"Um jogador
Conquistas Steam
Compat. parcial com controle",Not required,Inclui 23 Conquistas Steam,38 curadores analisaram este produto. Clique aqui para saber quais.
417,112 Operator,No,"Gerencie serviços de emergência em qualquer cidade do mundo! Atenda chamadas e envie forças de resgate. Lide com situações difíceis, agora dependendo do clima e do trânsito. Ajude os cidadãos em cataclismos e desastres naturais, tornando-se um operador de número de emergência melhor a cada dia!","Análises em geral:
Muito positivas (3,717 análises)",Muito positivas,23/abr./2020,Jutsu Games,"R$ 47,49","R$ 9,49",https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/12.png,73,"Indie, Simulação, Estratégia",,Ver todos os 10 idiomas disponíveis,"Um jogador
Conquistas Steam
Legendas disponíveis
Nuvem Steam",Not required,Inclui 45 Conquistas Steam,100 curadores analisaram este produto. Clique aqui para saber quais.
418,ITORAH,No,"Descubra o mundo de Nahucan neste jogo de plataforma e ação 2D. Você é Itorah, a única humana neste lugar estranho. Explore, lute e sobreviva para revelar seu passado e salvar Nahucan da maior ameaça: uma praga misteriosa!","Análises em geral:
Ligeiramente positivas (237 análises)",Muito positivas,21/mar./2022,Grimbart Tales,"R$ 45,99","R$ 18,39",https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/l.png,61,"Ação, Aventura, Indie",,Ver todos os 11 idiomas disponíveis,"Um jogador
Conquistas Steam
Compat. total com controle",Not required,Inclui 21 Conquistas Steam,55 curadores analisaram este produto. Clique aqui para saber quais.
419,Super Mombo Quest,No,"Prepare-se para explorar um mundo enorme e interconectado, fazendo todo tipo de acrobacias frenéticas em busca do combo perfeito! Um jogo super-rápido e preciso de plataforma, que mistura o gênero Metroidvania com mecânicas clássicas de Arcade!","Análises em geral:
Muito positivas (286 análises)",Muito positivas,3/nov./2021,Orube Game Studio,"R$ 28,99",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/l.png,,"Ação, Aventura, Indie",,Ver todos os 6 idiomas disponíveis,"Um jogador
Compat. total com controle",Not required,Inclui 66 Conquistas Steam,15 curadores analisaram este produto. Clique aqui para saber quais.
420,Scrap Mechanic,No,"Enter the creative paradise of Scrap Mechanic! Build fantastic machines, go on adventures with your friends and defend against waves of evil Farmbots in this imaginative multiplayer survival sandbox. With Scrap Mechanic’s powerful creation tools you can engineer your own adventures!","Análises em geral:
Muito positivas (86,891 análises)",Extremamente positivas,19/jan./2016,Axolot Games,"R$ 36,99",0,,,"Ação, Aventura, Indie, Simulação, Acesso Antecipado",,Ver todos os 11 idiomas disponíveis,"Um jogador
Cooperativo on-line
Oficina Steam
Nuvem Steam
Inclui editor de níveis",Requer aceitação de contrato de terceiros,0,335 curadores analisaram este produto. Clique aqui para saber quais.
421,The Guild 3,No,"The Guild 3 is a fascinating trade and life simulation that takes place during the late Middle Ages. Step into the shoes of a citizen, acquire businesses and mansions, produce goods and trade them, start intrigues in politics and society, love, hate, bribe, fight and live through good and bad times!","Análises em geral:
Neutras (5,933 análises)",Neutras,14/jun./2022,"Purple Lamp, GolemLabs","R$ 55,99","R$ 27,99",,65,"RPG, Simulação, Estratégia",Ver todas as atualizações (última: 21 de dez. de 2022),Ver todos os 10 idiomas disponíveis,"Um jogador
JxJ on-line
Cooperativo on-line
Conquistas Steam
Nuvem Steam",Not required,Inclui 26 Conquistas Steam,110 curadores analisaram este produto. Clique aqui para saber quais.
422,Fallen Hero: Retribution,Yes,So you're a villain now? Let's see if you survive the experience.,"Análises em geral:
Muito positivas (239 análises)",Muito positivas,2/fev./2023,Hosted Games,"R$ 38,49",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/14.png,,"Ação, Aventura, Casual, Indie, RPG",,1,"Um jogador
Conquistas Steam
Nuvem Steam",Not required,Inclui 94 Conquistas Steam,12 curadores analisaram este produto. Clique aqui para saber quais.
423,Spiritfall,Yes,"Spiritfall é um roguelite de ação em ritmo acelerado com combate inspirado em jogos de luta e plataforma 2D. Com um arsenal de poderes divinos em constante mudança, você poderá cortar, arrebentar, lançar para longe e esmagar nas paredes uma variedade de inimigos.","Análises em geral:
Muito positivas (278 análises)",Muito positivas,3/abr./2023,Gentle Giant,"R$ 54,99",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/10.png,,"Ação, Indie, Acesso Antecipado",Ver todas as atualizações (última: 7 de abr.),Ver todos os 5 idiomas disponíveis,"Um jogador
Conquistas Steam
Compat. total com controle
Nuvem Steam",Not required,Inclui 10 Conquistas Steam,19 curadores analisaram este produto. Clique aqui para saber quais.
424,Cooking Simulator,No,Torne-se o melhor chef! Assuma o controle de uma cozinha altamente polida e realista equipada com todo tipo de utensílios e balcões. Desbloqueie e domine mais de 80 receitas ou use dezenas de ingredientes naturais para cozinhar tudo o que quiser. Tudo apimentado com uma pitada de física realista!,"Análises em geral:
Muito positivas (14,045 análises)",Muito positivas,6/jun./2019,Big Cheese Studio,"R$ 37,99","R$ 56,41",,64,Simulação,Ver todas as atualizações (última: 16 de mar.),Ver todos os 12 idiomas disponíveis,"Um jogador
Conquistas Steam
Cartas Colecionáveis Steam
Compat. parcial com controle
Nuvem Steam",Not required,Inclui 266 Conquistas Steam,186 curadores analisaram este produto. Clique aqui para saber quais.
425,,No,,,,,,,0,,,,,1,,Not required,0,0
426,Monster Train,Yes,"Monster Train é um roguelike estratégico de construção de decks, com uma reviravolta. Conduzindo um trem infernal, você precisará tomar decisões táticas para defender campos de batalha verticais. Com multijogador competitivo em tempo real e fator replay infinito, o Monster Train nunca se atrasa.","Análises em geral:
Extremamente positivas (15,985 análises)",Muito positivas,21/mai./2020,Shiny Shoe,"R$ 47,49",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/10.png,86,Estratégia,,Ver todos os 6 idiomas disponíveis,"Um jogador
JxJ on-line
Conquistas Steam
Compat. total com controle
Cartas Colecionáveis Steam
Nuvem Steam
Remote Play no celular
Remote Play no tablet",Not required,Inclui 53 Conquistas Steam,254 curadores analisaram este produto. Clique aqui para saber quais.
427,Hydroneer,No,"Hydroneer é um jogo sandbox sobre mineração onde você cava a procura de ouro e outros recursos para obter lucro e aprimorar sua mineração. Construa uma base de operações, forge armas, vá pescar, e cave fundo!","Análises em geral:
Muito positivas (15,542 análises)",Muito positivas,8/mai./2020,Foulball Hangover,"R$ 46,99",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/l.png,,"Aventura, Casual, Indie, Simulação, Estratégia",Ver todas as atualizações (última: 2 de fev.),Ver todos os 19 idiomas disponíveis,"Um jogador
Coop. tela dividida/compart.
Cartas Colecionáveis Steam
Oficina Steam
Compat. parcial com controle
Nuvem Steam
Remote Play Together",Not required,Itens disponíveis na loja de pontos,79 curadores analisaram este produto. Clique aqui para saber quais.
428,Active Soccer 2023,No,A ação arcade retrô explosiva está de volta!Active Soccer 2023[/b] é um emocionante jogo de futebol arcade retrô que oferece uma experiência arcade de ritmo acelerado,"Análises em geral:
Positivas (31 análises)",Positivas,29/mar./2023,The Fox Software,"R$ 46,99",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/l.png,,"Esportes, Acesso Antecipado",Ver todas as atualizações (última: 31 de mar.),Ver todos os 6 idiomas disponíveis,"Um jogador
JxJ tela dividida/compart.
Coop. tela dividida/compart.
Compat. parcial com controle
Remote Play Together
O Steam está analisando este jogo ",Not required,0,2 curadores analisaram este produto. Clique aqui para saber quais.
429,Strange Horticulture,No,"Em Strange Horticulture, você tem uma loja de plantas e resolve enigmas ocultos. Ache e identifique plantas, cuide da sua gata, conheça um conciliábulo ou seita. Suas plantas podem mudar a história e desvendar mistérios sombrios de Undermere.","Análises em geral:
Extremamente positivas (6,104 análises)",Extremamente positivas,21/jan./2022,Bad Viking,"R$ 46,99",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/l.png,83,"Aventura, Indie, Simulação",Ver todas as atualizações (última: 20 de dez. de 2022),Ver todos os 15 idiomas disponíveis,"Um jogador
Conquistas Steam
Compat. total com controle
Cartas Colecionáveis Steam
Nuvem Steam",Not required,Inclui 18 Conquistas Steam,93 curadores analisaram este produto. Clique aqui para saber quais.
430,Propnight,Yes,"Junte-se a uma festa eletrizante no Propnight, um jogo de esconde-esconde para vários jogadores.","Análises em geral:
Neutras (13,617 análises)",Neutras,1/dez./2021,FNTASTIC,"R$ 32,99",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/12.png,,"Ação, Aventura, Casual",Ver todas as atualizações (última: 7 de abr.),Ver todos os 15 idiomas disponíveis,"JxJ on-line
Cooperativo on-line
Conquistas Steam
Compat. total com controle",Not required,Inclui 43 Conquistas Steam,153 curadores analisaram este produto. Clique aqui para saber quais.
431,The King's Dilemma: Chronicles,No,"Lead the King’s Council for generations as the consequences of your decisions decide the kingdom’s resources and political standing. Form alliances, solve dilemmas, and prepare for the final uprising that was foretold by an ancient prophecy","Análises em geral:
Ligeiramente positivas (55 análises)",Ligeiramente positivas,30/jan./2023,Big Trouble,"R$ 46,99",0,,83,"RPG, Simulação",Ver todas as atualizações (última: 2 de mar.),Ver todos os 5 idiomas disponíveis,"Um jogador
Conquistas Steam
Nuvem Steam",Not required,Inclui 20 Conquistas Steam,21 curadores analisaram este produto. Clique aqui para saber quais.
432,FAR: Lone Sails,No,"Viaje por um oceano vazio, repleto de restos de uma civilização moribunda. Mantenha sua embarcação em funcionamento, supere diversos obstáculos e resista ao clima opressor. Até onde você consegue chegar? O que você encontrará?","Análises em geral:
Muito positivas (12,710 análises)",Extremamente positivas,17/mai./2018,Okomotive,"R$ 28,99","R$ 5,79",https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/l.png,80,"Ação, Aventura, Indie",,Ver todos os 14 idiomas disponíveis,"Um jogador
Conquistas Steam
Compat. total com controle
Cartas Colecionáveis Steam
Nuvem Steam
Remote Play na TV",Not required,Inclui 14 Conquistas Steam,227 curadores analisaram este produto. Clique aqui para saber quais.
433,DREDGE - Original Soundtrack,Yes,,"Análises em geral:
4 análises de usuários (4 análises)",4 análises de usuários,30/mar./2023,"Black Salt Games, David Mason","R$ 17,25",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/14.png,,,Ver todas as atualizações (última: 6 de abr.),1,,Not required,0,0
